num_distr,mouse.time,mouse.clicked_name,participant,,,,
10,2.9214616,target,1,,,,
10,2.5356606,target,1,,,,
10,2.7225426,target,1,,Set-Size,5,10
10,1.4529475,target,1,,Avg RT,1.6846,2.0759
5,1.6282797,target,1,,,,
5,1.8486948,target,1,,,,
10,1.7653747,target,1,,,,
5,2.6719814,target,1,,,,
10,3.0700285,target,1,,,,
10,2.6252272,target,1,,,,
5,1.0388624,target,1,,,,
10,0.9240383,target,1,,,,
5,1.5809302,target,1,,,,
10,1.3962833,target,1,,,,
10,2.7320953,,1,,,,
5,1.0587983,target,1,,,,
5,1.1155736,target,1,,,,
10,3.7690137,target,1,,,,
5,1.0988755,target,1,,,,
10,2.6808086,target,1,,,,
10,2.4676209,target,1,,,,
5,1.5233833,target,1,,,,
10,1.9229449,target,1,,,,
10,2.4728543,target,1,,,,
10,2.7076574,target,1,,,,
10,1.9835439,target,1,,,,
10,2.4411173,target,1,,,,
10,1.5490005,target,1,,,,
5,1.768464,target,1,,,,
10,4.7233099,target,1,,,,
5,1.17263,target,1,,,,
10,1.0680631,target,1,,,,
10,1.973273,target,1,,,,
10,2.5033853,target,1,,,,
5,1.667632,target,1,,,,
5,1.1403678,target,1,,,,
10,2.3826942,target,1,,,,
10,2.4725564,target,1,,,,
10,1.3494793,target,1,,,,
10,1.7338195,target,1,,,,
5,2.1463312,target,1,,,,
10,1.4425259,target,1,,,,
10,1.6368043,target,1,,,,
5,2.4714356,target,1,,,,
5,1.1747014,target,1,,,,
10,1.0686149,target,1,,,,
5,1.1867631,target,1,,,,
10,2.9228653,target,1,,,,
10,3.8487665,target,1,,,,
10,4.2899949,target,1,,,,
10,2.8051771,target,1,,,,
5,2.3186068,target,1,,,,
10,2.1217821,target,1,,,,
5,2.1174152,target,1,,,,
5,1.7265213,target,1,,,,
5,1.6253619,target,1,,,,
5,1.3326659,target,1,,,,
10,1.2002502,target,1,,,,
5,1.606998,target,1,,,,
10,1.9235025,target,1,,,,
5,2.0984512,target,1,,,,
10,1.5045004,target,1,,,,
10,1.8342686,target,1,,,,
5,3.4151338,target,1,,,,
5,1.9891175,target,1,,,,
10,1.5332597,target,1,,,,
5,2.1398096,target,1,,,,
10,0.9997818,target,1,,,,
5,1.9566534,target,1,,,,
10,3.422786,target,1,,,,
10,2.3189509,target,1,,,,
5,2.0088644,target,1,,,,
10,2.6364737,target,1,,,,
5,1.3455525,target,1,,,,
10,2.355078,target,1,,,,
5,1.9942435,target,1,,,,
10,1.9798426,target,1,,,,
5,2.4659725,target,1,,,,
5,1.8564429,target,1,,,,
5,1.1109276,target,1,,,,
10,1.1641826,target,1,,,,
10,2.1445928,target,1,,,,
10,1.491786,target,1,,,,
5,1.3184148,target,1,,,,
5,2.924602,target,1,,,,
5,1.4618478,target,1,,,,
5,1.4770895,target,1,,,,
10,2.7395377,target,1,,,,
5,0.0999093,,1,,,,
10,6.725528,target,1,,,,
10,1.4510591,target,1,,,,
5,1.582741,target,1,,,,
5,1.1928533,target,1,,,,
5,1.3308546,target,1,,,,
10,5.5496882,target,1,,,,
10,1.4994334,target,1,,,,
5,4.3886588,target,1,,,,
10,1.8241379,target,1,,,,
10,2.4465439,target,1,,,,
5,1.2169232,target,1,,,,
10,2.9334488,target,1,,,,
10,2.3665877,target,1,,,,
5,1.1643629,target,1,,,,
10,2.244407,target,1,,,,
5,1.4008761,target,1,,,,
5,0.9651906,target,1,,,,
5,2.0536031,target,1,,,,
10,1.3318948,target,1,,,,
10,1.6158344,target,1,,,,
5,1.4929579,target,1,,,,
10,1.6382966,target,1,,,,
5,2.0129091,target,1,,,,
10,2.5423376,target,1,,,,
5,1.758814,target,1,,,,
10,5.674104,target,1,,,,
10,1.7947466,target,1,,,,
10,1.6442225,target,1,,,,
10,2.4969609,target,1,,,,
10,2.7869459,target,1,,,,
10,3.0982722,target,1,,,,
10,2.1787005,target,1,,,,
10,2.0360495,target,1,,,,
10,2.015871,target,1,,,,
10,1.8141542,target,1,,,,
5,2.1606049,target,1,,,,
10,2.3632014,target,1,,,,
10,2.4643837,target,1,,,,
5,1.3674241,target,1,,,,
5,1.651034,target,1,,,,
5,1.5402034,target,1,,,,
5,1.4583617,target,1,,,,
10,2.808617,target,1,,,,
10,3.129833,target,1,,,,
5,1.7958085,target,1,,,,
5,1.7427906,target,1,,,,
5,2.062272,target,1,,,,
10,2.2377775,target,1,,,,
10,3.6695001,target,1,,,,
10,1.8024954,target,1,,,,
5,1.6924996,target,1,,,,
5,1.9457206,target,1,,,,
5,1.1149044,target,1,,,,
10,1.8344708,target,1,,,,
10,2.5811361,target,1,,,,
10,2.070976,target,1,,,,
10,2.6107742,target,1,,,,
5,1.4574316,target,1,,,,
10,1.9293192,target,1,,,,
10,2.2725501,target,1,,,,
5,1.3942141,target,1,,,,
5,1.7866894,target,1,,,,
10,1.3906821,target,1,,,,
10,1.7212282,target,1,,,,
10,3.636765,target,1,,,,
10,2.9293326,target,1,,,,
10,2.2236109,target,1,,,,
10,1.6964315,target,1,,,,
5,1.5223598,target,1,,,,
5,1.434472,target,1,,,,
5,1.9229275,target,1,,,,
5,2.3793078,target,1,,,,
5,2.6339407,target,1,,,,
5,2.1091711,target,1,,,,
5,2.547596,target,1,,,,
10,1.7364966,target,1,,,,
5,3.7825116,target,1,,,,
10,2.2389253,target,1,,,,
10,2.8209572,target,1,,,,
10,3.7466713,target,1,,,,
10,1.5190221,target,1,,,,
5,1.5080638,target,1,,,,
5,1.5289002,target,1,,,,
10,1.6587586,target,1,,,,
10,1.7462931,target,1,,,,
10,1.7804648,target,1,,,,
10,1.8120586,target,1,,,,
10,4.7231634,target,1,,,,
5,1.3006953,target,1,,,,
5,1.3578655,target,1,,,,
5,1.7464072,target,1,,,,
10,1.5724771,target,1,,,,
10,1.8993761,target,1,,,,
10,1.4412557,target,1,,,,
5,1.953621,target,1,,,,
10,1.4902233,target,1,,,,
5,2.0860335,target,1,,,,
5,1.3416997,target,1,,,,
5,0.9816839,target,1,,,,
5,1.4951027,target,1,,,,
10,1.662992,target,1,,,,
5,2.3782211,target,1,,,,
10,1.2606371,target,1,,,,
5,1.8826698,target,1,,,,
5,1.9595572,target,1,,,,
10,4.4082471,target,1,,,,
10,2.2844157,target,1,,,,
5,2.1350104,target,1,,,,
10,2.0692543,target,1,,,,
10,2.0889415,target,1,,,,
5,1.8031797,target,1,,,,
10,3.7636069,target,2,,,,
5,1.2770998,target,2,,,,
10,1.7026775,target,2,,,,
5,1.857393,target,2,,,,
10,2.5899389,target,2,,,,
5,2.3835661,target,2,,,,
10,2.6470851,target,2,,,,
5,1.5632594,target,2,,,,
5,1.7493069,target,2,,,,
5,1.1785566,target,2,,,,
5,1.2490546,target,2,,,,
10,1.0652415,target,2,,,,
10,1.2449202,target,2,,,,
5,2.3685549,target,2,,,,
5,1.6323479,target,2,,,,
5,1.4868852,target,2,,,,
10,1.598066,target,2,,,,
10,1.4020389,target,2,,,,
10,3.5280216,target,2,,,,
10,2.1375672,target,2,,,,
5,1.9230825,target,2,,,,
5,3.8011879,target,2,,,,
5,1.0474363,target,2,,,,
10,1.6089225,target,2,,,,
10,3.8481865,target,2,,,,
10,1.7935712,target,2,,,,
10,1.8280582,target,2,,,,
5,2.9990198,target,2,,,,
10,2.2024177,target,2,,,,
10,2.0765519,target,2,,,,
5,1.4223958,target,2,,,,
10,1.3250126,target,2,,,,
10,2.4146265,target,2,,,,
5,1.2331647,target,2,,,,
5,2.4383224,target,2,,,,
5,1.638291,target,2,,,,
5,1.6777617,target,2,,,,
10,1.9440587,target,2,,,,
10,1.2962995,target,2,,,,
5,1.7806153,target,2,,,,
10,2.1553617,target,2,,,,
10,3.0654874,target,2,,,,
10,2.3051562,target,2,,,,
10,3.8609035,target,2,,,,
10,1.917325,target,2,,,,
5,1.5395553,target,2,,,,
5,1.962979,target,2,,,,
5,1.5784127,target,2,,,,
10,1.1079578,target,2,,,,
10,3.8499063,target,2,,,,
5,0.8668038,target,2,,,,
5,1.5011595,target,2,,,,
5,3.769454,target,2,,,,
5,1.5030472,target,2,,,,
10,1.9615752,target,2,,,,
10,1.7415569,target,2,,,,
10,2.0820149,target,2,,,,
10,2.187595,target,2,,,,
5,1.483323,target,2,,,,
10,2.7215334,target,2,,,,
5,3.0118258,target,2,,,,
10,1.5400134,target,2,,,,
10,1.3668133,target,2,,,,
10,1.9475658,target,2,,,,
5,2.3761461,target,2,,,,
10,2.6691124,target,2,,,,
5,2.2002368,target,2,,,,
10,1.949398,target,2,,,,
5,2.7184219,target,2,,,,
5,1.5335292,target,2,,,,
10,2.5053211,target,2,,,,
5,1.8317057,target,2,,,,
10,2.2297648,target,2,,,,
5,0.9889212,target,2,,,,
10,2.3592242,target,2,,,,
5,1.741438,target,2,,,,
5,0.6466022,target,2,,,,
10,2.2312615,target,2,,,,
10,3.1932141,target,2,,,,
10,1.8395942,target,2,,,,
10,2.149293,target,2,,,,
10,1.8334734,target,2,,,,
5,2.246204,target,2,,,,
10,1.9133558,target,2,,,,
10,4.0849349,target,2,,,,
10,1.7244909,target,2,,,,
5,1.6261211,target,2,,,,
5,1.5289427,target,2,,,,
5,1.8398171,target,2,,,,
5,1.9858996,target,2,,,,
10,1.216757,target,2,,,,
5,1.4790343,target,2,,,,
5,1.3697211,target,2,,,,
10,2.1035242,target,2,,,,
10,3.2869026,target,2,,,,
5,1.9120797,target,2,,,,
5,1.7522107,target,2,,,,
10,2.7483552,target,2,,,,
5,1.2627794,target,2,,,,
5,1.7022761,target,2,,,,
10,2.9297916,target,2,,,,
5,2.2194504,target,2,,,,
10,3.9126159,target,2,,,,
10,1.9497825,target,2,,,,
10,1.7290997,target,2,,,,
10,1.5043774,target,2,,,,
5,2.9141511,target,2,,,,
10,2.3634588,target,2,,,,
10,1.9283379,target,2,,,,
10,3.6579673,target,2,,,,
5,1.8644222,target,2,,,,
5,1.9219461,target,2,,,,
10,1.2025597,target,2,,,,
5,3.2244617,target,2,,,,
5,1.1006599,target,2,,,,
5,1.7138377,target,2,,,,
10,1.752339,target,2,,,,
5,1.7654693,target,2,,,,
5,1.4905274,target,2,,,,
5,1.063085,target,2,,,,
10,2.1889376,target,2,,,,
10,1.9701956,target,2,,,,
5,1.6223849,target,2,,,,
5,2.0060374,target,2,,,,
10,2.1531985,target,2,,,,
10,2.851824,target,2,,,,
10,1.6101614,target,2,,,,
10,2.1476518,target,2,,,,
5,2.0273247,target,2,,,,
10,1.4547879,target,2,,,,
5,1.5628454,target,2,,,,
5,1.3859503,target,2,,,,
10,3.2863443,target,2,,,,
10,2.4725566,target,2,,,,
5,2.0187942,target,2,,,,
10,2.4373553,target,2,,,,
10,2.6095883,target,2,,,,
5,1.69107,target,2,,,,
5,3.0997123,target,2,,,,
10,2.0186449,target,2,,,,
5,2.9658088,target,2,,,,
10,2.0295789,target,2,,,,
10,2.6371724,target,2,,,,
5,1.789791,target,2,,,,
5,2.6405267,target,2,,,,
10,1.0030055,target,2,,,,
5,1.5384169,target,2,,,,
5,1.4573143,target,2,,,,
10,1.5566292,target,2,,,,
10,1.3824444,target,2,,,,
10,1.5490611,target,2,,,,
5,1.352509,target,2,,,,
10,2.1349184,target,2,,,,
5,2.3140105,target,2,,,,
10,2.106539,target,2,,,,
10,1.60112,target,2,,,,
10,1.6128888,target,2,,,,
5,1.7018904,target,2,,,,
10,2.1249399,target,2,,,,
5,1.373844,target,2,,,,
10,1.8108289,target,2,,,,
10,2.5018128,target,2,,,,
10,1.6368052,target,2,,,,
5,1.7191127,target,2,,,,
5,1.9953945,target,2,,,,
10,2.4545505,target,2,,,,
5,1.6270084,target,2,,,,
10,2.1921601,target,2,,,,
5,1.416575,target,2,,,,
5,1.9813703,target,2,,,,
5,1.2296208,target,2,,,,
5,1.9401605,target,2,,,,
10,2.5791508,target,2,,,,
10,1.8493892,target,2,,,,
5,1.7037292,target,2,,,,
10,2.0538475,target,2,,,,
5,2.5291698,target,2,,,,
5,1.6791694,target,2,,,,
5,1.4804581,target,2,,,,
10,2.392439,target,2,,,,
5,1.0486536,target,2,,,,
10,0.9868334,target,2,,,,
10,1.4893781,target,2,,,,
5,1.443872,target,2,,,,
10,4.1464954,target,2,,,,
10,0.9828768,target,2,,,,
10,1.7992879,target,2,,,,
10,1.732488,target,2,,,,
5,1.3360885,target,2,,,,
10,1.4117856,target,2,,,,
10,1.8918765,target,2,,,,
5,1.8526405,target,2,,,,
5,1.6797292,target,2,,,,
10,2.0897481,target,2,,,,
10,2.671266,target,2,,,,
10,1.7088246,target,2,,,,
5,2.5198229,target,2,,,,
10,4.8779756,target,2,,,,
5,1.3328605,target,2,,,,
10,0.8783757,target,2,,,,
5,1.8832007,target,3,,,,
10,1.5555625,target,3,,,,
5,2.3473739,target,3,,,,
10,1.9837121,,3,,,,
5,1.3845627,target,3,,,,
10,1.5038149,target,3,,,,
10,3.1474741,target,3,,,,
10,2.7991059,target,3,,,,
10,1.9569954,target,3,,,,
10,2.6927152,target,3,,,,
10,1.0839949,target,3,,,,
5,2.1131177,target,3,,,,
5,1.8679858,target,3,,,,
5,1.0014755,target,3,,,,
10,1.4659676,target,3,,,,
10,1.8072511,target,3,,,,
10,1.7057262,target,3,,,,
10,2.4976362,target,3,,,,
5,1.5851035,target,3,,,,
10,3.1068615,target,3,,,,
5,2.0308288,target,3,,,,
10,2.917843,target,3,,,,
10,1.9205483,target,3,,,,
5,1.5323528,target,3,,,,
5,1.339612,target,3,,,,
10,3.8102548,target,3,,,,
5,1.3182864,target,3,,,,
10,2.5976114,target,3,,,,
10,2.195322,target,3,,,,
5,1.6459212,target,3,,,,
5,1.4722647,target,3,,,,
10,1.1624561,target,3,,,,
10,2.0928032,target,3,,,,
10,2.816888,target,3,,,,
5,1.2769135,target,3,,,,
10,3.7603429,target,3,,,,
5,2.0230305,target,3,,,,
10,2.227442,target,3,,,,
5,1.2596489,target,3,,,,
5,2.4847372,target,3,,,,
5,1.1276501,target,3,,,,
10,1.7201029,target,3,,,,
5,1.4576681,target,3,,,,
5,1.0350978,target,3,,,,
5,2.9868935,target,3,,,,
10,3.7603671,target,3,,,,
10,3.1174864,target,3,,,,
5,1.6269617,target,3,,,,
10,4.0844215,target,3,,,,
5,1.1241033,target,3,,,,
10,2.2553982,target,3,,,,
10,2.3991817,target,3,,,,
5,1.6273781,target,3,,,,
10,2.561476,target,3,,,,
5,2.2486675,target,3,,,,
10,1.868114,target,3,,,,
5,1.5039034,target,3,,,,
5,1.1678129,target,3,,,,
5,1.2993664,target,3,,,,
5,1.0929862,target,3,,,,
10,1.2287096,target,3,,,,
10,1.8536858,target,3,,,,
10,3.2877804,target,3,,,,
5,1.8857871,target,3,,,,
10,2.0023189,target,3,,,,
5,1.541753,target,3,,,,
10,1.806021,target,3,,,,
10,2.9445419,target,3,,,,
5,1.919957,target,3,,,,
10,2.0484122,target,3,,,,
5,1.4360189,target,3,,,,
10,1.9918974,target,3,,,,
10,2.8909802,target,3,,,,
5,2.1309726,target,3,,,,
10,1.6018624,target,3,,,,
5,1.5466958,target,3,,,,
5,1.8254462,target,3,,,,
5,2.1739674,target,3,,,,
5,1.3106339,target,3,,,,
5,1.3301081,target,3,,,,
5,1.5301721,target,3,,,,
5,2.3264583,target,3,,,,
5,1.9304531,target,3,,,,
10,1.9394175,target,3,,,,
10,1.3519615,target,3,,,,
10,1.342835,target,3,,,,
10,1.3341896,target,3,,,,
10,1.2316868,target,3,,,,
10,2.5126392,target,3,,,,
5,2.0653405,target,3,,,,
10,2.8272752,target,3,,,,
10,1.759742,target,3,,,,
5,1.3250144,target,3,,,,
10,2.4732376,target,3,,,,
10,2.6117959,target,3,,,,
5,1.4949583,target,3,,,,
10,2.2245056,target,3,,,,
